Acer A515-56G-57H5 (Charcoal Black) A515-56G-56AZ  (Pure Silver) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | NVIDIA GeForce MX450 | Windows 11 |  |
Asus ExpertBook P5 P5440FF-BM0153R NB | 14-inch FHD | Intel Core i5-8265U | 8GB RAM | 512GB SSD | NVIDIA GeForce MX130 | Windows 10 Pro |  |
Asus M515DA-BR1326W SLATE GREY | 15.6-inch | AMD Ryzen 3 3250U | 8GB RAM | 1TB HDD + 256GB NVMe M.2 SSD | AMD Radeon Graphics | Windows 11 |  |
Asus ProArt StudioBook 16 OLED H5600QR-L2107R | 16-inch 4K OLED | AMD Ryzen 9 5900HX | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 3070 | Windows 10 |  |
Asus ROG FLOW Z13 GZ301ZA-LD072W(BLACK 2-in-1) | 13.4-inch WUXGA IPS Touch | Intel Core i5-12500H | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 11 |  |
Asus ROG Strix G15 G513IM-HN122W (Eclipse Gray) | 15.6-inch FHD IPS | AMD Ryzen 7 4800H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus ROG Strix G15 G513RM-HF129W (Eclipse Gray) | 15.6-inch FHD IPS 300Hz | AMD Ryzen 7 6800H | 8GB DDR5 RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus ROG STRIX G513IC-HN064T (ORIG. BLACK) | 15.6-inch FHD 144Hz | AMD Ryzen 7 4800H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
Asus ROG STRIX G513IH-HN009T (ORIG. BLACK) | 15.6-inch FHD 144Hz | AMD Ryzen 7 4800H | 8GB RAM | 512GB SSD | NVIDIA GeForce GTX 1650 | Windows 10 |  |
Asus ROG STRIX SCAR 15 G533ZM-LN022WS | 15.6-inch WQHD IPS 240Hz | Intel Core i7-12700H | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus ROG Strix SCAR 15 G533ZW-LN108WS (Off Black) | 15.6-inch WQHD IPS 240Hz | Intel Core i9-12900H | 32GB RAM | 2TB SSD | NVIDIA GeForce RTX 3070 Ti | Windows 11 |  |
Asus ROG STRIX SCAR 15 G533ZX-LN027WS | 15.6-inch WQHD IPS | Intel Core i9-12900H | 32GB DDR5 RAM | 2TB SSD | NVIDIA GeForce RTX 3080 Ti | Windows 11 |  |
Asus ROG STRIX SCAR G733ZX-LL023WS (BLACK) | 17.3-inch WQHD 240Hz | Intel Core i9-12900H | 32GB RAM | 2TB PCIe4 SSD | NVIDIA GeForce RTX 3080 Ti | Windows 11 |  |
Asus ROG ZEPHYRUS G14 GA401QC-K2141W ECLIPSE GREY | 14-inch WQHD IPS | AMD Ryzen 7 5800HS | 16GB RAM | 512GB PCIe3 SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Asus ROG ZEPHYRUS G14 GA401QE-K2134TS (Anime Matrix|Eclipse Gray) | 14-inch WQHD | AMD Ryzen 7 5800HS | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
Asus ROG ZEPHYRUS G14 GA401QE-K2135TS (Anime Matrix|Moonlight White) | 14-inch WQHD | AMD Ryzen 7 5800HS | 16GB RAM | 1TB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 10 |  |
Asus ROG ZEPHYRUS M16 GU603-K8023WS | 16-inch WQXGA IPS | Intel Core i9-12900H | 32GB RAM | 2TB PCIe SSD | NVIDIA GeForce RTX 3080 Ti | Windows 11 |  |
Asus ROG ZEPHYRUS M16 GU603ZM-K8051WS | 16-inch WQXGA IPS | Intel Core i7-12700H | 16GB 2x8GB RAM | 1TB PCIe4 SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus ROG ZEPHYRUS M16 GU603ZW-K8029WS | 16-inch WQXGA IPS | Intel Core i9-12900H | 32GB RAM | 1TB PCIe SSD | NVIDIA GeForce RTX 3070 Ti | Windows 11 |  |
Asus ROG Zephyrus S15 GX502LXS-HF053TS | 15.6-inch FHD IPS 300Hz | Intel Core i7-10875H | 32GB RAM | 1TB SSD | NVIDIA GeForce RTX 2080S | Windows 10 |  |
Asus TUF Dash F15 FX516PM-HN096T (Gray) | 15.6-inch FHD IPS 144Hz | Intel Core i7-11370H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
Asus TUF Dash F15 FX516PM-HN097T (Gray) | 15.6-inch FHD IPS 144Hz | Intel Core i5-11300H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 10 |  |
Asus TUF Dash F15 Gray FX516PC-HN029T | 15.6-inch FHD IPS | Intel Core i5-11300H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
Asus TUF GAMING A15 FA506IHRB-HN081W GRAPHITE BLACK | 15.6-inch FHD 144Hz | AMD Ryzen 5 4600H | 8GB RAM | 512GB SSD | NVIDIA GeForce GTX 1650 | Windows 11 |  |
Asus TUF GAMING A15 FA506QM-HN121W GRAPHITE BLACK | 15.6-inch FHD | AMD Ryzen 7 5800H | 8GB RAM | 512GB PCIe3 SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus TUF GAMING A15 FA507RC-HN022W | 15.6-inch FHD IPS | AMD Ryzen 7 6800H | 8GB RAM | 512GB PCIe SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Asus TUF GAMING A17 FA707RC-HX010W (Mecha Gray) | 17.3-inch FHD 144Hz | AMD Ryzen 7 6800H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Asus TUF GAMING A17 FA707RM-HX048W MECHA GRAY | 17.3-inch FHD 144Hz | AMD Ryzen 7 6800H | 8GB RAM | 1TB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus TUF GAMING F15 FX506HCB-HN174T/HN174W (Gray) | 15.6-inch FHD IPS 144Hz | Intel Core i5-11400H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Asus TUF GAMING F15 FX506HCB-HN215W GRAPHITE BLACK | 15.6-inch FHD | Intel Core i5-11400H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Asus TUF GAMING F15 FX507ZM-HF076W JAEGER GRAY | 15.6-inch FHD IPS | Intel Core i7-12700H | 16GB RAM | 1TB PCIe SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus TUF GAMING F15 FX507ZM-HN073W MECHA GRAY | 15.6-inch FHD 144Hz | Intel Core i7-12700H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus TUF GAMING F15 FX507ZM-HN075W JAEGER GRAY | 15.6-inch FHD IPS | Intel Core i7-12700H | 16GB RAM | 512GB PCIe3 SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus TUF GAMING F17 FX707ZM-HX066W MECHA GRAY | 17.3-inch FHD IPS | Intel Core i7-12700H | 16GB RAM | 512GB PCIe3 SSD | NVIDIA GeForce RTX 3060 | Windows 11 |  |
Asus TUF Gaming FX506LH-HN110T | 15.6-inch FHD IPS 144Hz | Intel Core i5-10300H | 8GB RAM | 512GB SSD | NVIDIA GeForce GTX 1650 | Windows 10 |  |
Asus TUF TUF GAMING F15 FX506HE-HN310W (Graphite Black) | 15.6-inch FHD 144Hz | Intel Core i5-11400H | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 Ti | Windows 11 |  |
Asus VivoBook 14 M413UA-EB092T BLACK | 14-inch FHD IPS | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Asus VIVOBOOK 14 M413UA-EB436W BLACK | 14-inch FHD IPS | AMD Ryzen 5 5500U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Asus VivoBook 15 OLED K513EA-L11108TS/L12004TS (Indie Black) | 15.6-inch FHD | Intel Core i5-1135G7 | 8GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Asus VivoBook 15 OLED M513UA-L1301TS (Black) | 15-inch FHD OLED | AMD Ryzen 7 5700U | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 10 |  |
Asus VIVOBOOK PRO 14 OLED M3401QC-KM070WS | 14-inch WQXGA+ OLED | AMD Ryzen 9 5900HX | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 11 |  |
Asus VivoBook Pro 14 OLED M3401QC-KM116T (Blue) | 14-inch WQXGA+ 90Hz | AMD Ryzen 5 5600H | 8GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
Asus VivoBook Pro 15 M3500QC-L1080TS(Blue) | 15.6-inch FHD OLED | AMD Ryzen 5 5600 | 16GB RAM | 512GB SSD | NVIDIA GeForce RTX 3050 | Windows 10 |  |
Asus VivoBook Pro 15 OLED K3500PH-L1085TS (Blue) | 15.6-inch FHD | Intel Core i5-11300H | 8GB RAM | 512GB SSD | NVIDIA GeForce GTX 1650 Max-Q | Windows 10 |  |
Asus VIVOBOOK PRO M3401QA-KM048W | 14-inch WQXGA+ OLED | AMD Ryzen 5 5600H | 8GB RAM | 512GB SSD | AMD Radeon Graphics | Windows 11 |  |
Asus VIVOBOOK PRO14 OLED M3401QA-KM051TS | 14-inch WQXGA | AMD Ryzen 7 5800H | 16GB RAM | 512GB NVMe PCIe SSD | AMD Graphics | Windows 10 |  |
Asus VivoBook S14 S433EA -AM342TS (Black) | 14-inch FHD IPS | Intel Core i5-1135G7 | 16GB RAM | 512GB SSD | Intel Iris Xe Graphics | Windows 10 |  |
Asus VIVOBOOK SLATE 13 OLED T3300KA-LQ035WS | 13.3-inch FHD OLED Touch | Intel Pentium Silver N6000 | 4GB RAM | 128GB eMMC |  | Windows 11 |  |
Asus VIVOBOOK SLATE 13 OLED T3300KA-LQ075WS | 13.3-inch FHD OLED Touch | Intel Pentium Silver N6000 | 8GB RAM | 128GB SSD |  | Windows 11 |  |
Asus X415EA-EK659W Silver / EK760W Grey | 14-inch FHD | Intel Core i3-1115G4 | 8GB RAM | 1TB HDD + 128GB SSD | Intel UHD Graphics | Windows 11 |  |
Asus X415FA-BV114W S-GREY | 14-inch HD | Intel Core i3-10110U | 4GB OB+4GB RAM | 256GB SSD | Intel HD Graphics 520 | Windows 11 |  |
Asus X415JP-EK173T (Gray) | 14-inch FHD | Intel Core i5-1035G1 | 8GB RAM | 256GB SSD | NVIDIA GeForce MX330 | Windows 10 |  |
Asus X415JP-EK214T (Gray) | 14-inch FHD | Intel Core i7-1065G7 | 8GB RAM | 1TB HDD + 256GB SSD | NVIDIA GeForce MX330 | Windows 10 |  |
Asus X415MA-BV362W (Slate Grey) | 14-inch HD | Intel Celeron N4020 | 4GB RAM | 1TB HDD + 128GB SSD | Intel UHD Graphics | Windows 11 |  |
Asus X415MA-BV365W (Slate Grey) | 14-inch HD | Intel Celeron N4020 | 4GB RAM | 1TB HDD | Intel UHD Graphics | Windows 11 |  |
